Country,League,Date,Home_Team,home_team_goal,away_team_goal,Away_Team
England,Premier League,2023-04-01,Arsenal,4,1,Leeds
England,Premier League,2023-04-09,Liverpool,2,2,Arsenal
England,Premier League,2023-04-16,West Ham,2,2,Arsenal
England,Premier League,2023-04-21,Arsenal,3,3,Southampton
England,Premier League,2023-04-26,Man City,4,1,Arsenal
England,Premier League,2023-05-02,Arsenal,3,1,Chelsea
England,Premier League,2023-05-07,Newcastle,0,2,Arsenal
England,Premier League,2023-05-14,Arsenal,0,3,Brighton
England,Premier League,2023-05-20,Nott'm Forest,1,0,Arsenal
England,Premier League,2023-04-01,Chelsea,0,2,Aston Villa
England,Premier League,2023-04-04,Leicester,1,2,Aston Villa
England,Premier League,2023-04-08,Aston Villa,2,0,Nott'm Forest
England,Premier League,2023-04-15,Aston Villa,3,0,Newcastle
England,Premier League,2023-04-22,Brentford,1,1,Aston Villa
England,Premier League,2023-04-25,Aston Villa,1,0,Fulham
England,Premier League,2023-04-30,Man United,1,0,Aston Villa
England,Premier League,2023-05-06,Wolves,1,0,Aston Villa
England,Premier League,2023-05-13,Aston Villa,2,1,Tottenham
England,Premier League,2023-05-20,Liverpool,1,1,Aston Villa
England,Premier League,2023-04-01,Bournemouth,2,1,Fulham
England,Premier League,2023-04-04,Bournemouth,0,2,Brighton
England,Premier League,2023-04-08,Leicester,0,1,Bournemouth
England,Premier League,2023-04-15,Tottenham,2,3,Bournemouth
England,Premier League,2023-04-23,Bournemouth,0,4,West Ham
England,Premier League,2023-04-27,Southampton,0,1,Bournemouth
England,Premier League,2023-04-30,Bournemouth,4,1,Leeds
England,Premier League,2023-05-06,Bournemouth,1,3,Chelsea
England,Premier League,2023-05-13,Crystal Palace,2,0,Bournemouth
England,Premier League,2023-05-20,Bournemouth,0,1,Man United
England,Premier League,2023-04-01,Brighton,3,3,Brentford
England,Premier League,2023-04-05,Man United,1,0,Brentford
England,Premier League,2023-04-08,Brentford,1,2,Newcastle
England,Premier League,2023-04-15,Wolves,2,0,Brentford
England,Premier League,2023-04-22,Brentford,1,1,Aston Villa
England,Premier League,2023-04-26,Chelsea,0,2,Brentford
England,Premier League,2023-04-29,Brentford,2,1,Nott'm Forest
England,Premier League,2023-05-06,Liverpool,1,0,Brentford
England,Premier League,2023-05-14,Brentford,2,0,West Ham
England,Premier League,2023-05-20,Tottenham,1,3,Brentford
England,Premier League,2023-04-01,Brighton,3,3,Brentford
England,Premier League,2023-04-04,Bournemouth,0,2,Brighton
England,Premier League,2023-04-08,Tottenham,2,1,Brighton
England,Premier League,2023-04-15,Chelsea,1,2,Brighton
England,Premier League,2023-04-26,Nott'm Forest,3,1,Brighton
England,Premier League,2023-04-29,Brighton,6,0,Wolves
England,Premier League,2023-05-04,Brighton,1,0,Man United
England,Premier League,2023-05-08,Brighton,1,5,Everton
England,Premier League,2023-05-14,Arsenal,0,3,Brighton
England,Premier League,2023-05-18,Newcastle,4,1,Brighton
England,Premier League,2023-05-21,Brighton,3,1,Southampton
England,Premier League,2023-04-01,Chelsea,0,2,Aston Villa
England,Premier League,2023-04-04,Chelsea,0,0,Liverpool
England,Premier League,2023-04-08,Wolves,1,0,Chelsea
England,Premier League,2023-04-15,Chelsea,1,2,Brighton
England,Premier League,2023-04-26,Chelsea,0,2,Brentford
England,Premier League,2023-05-02,Arsenal,3,1,Chelsea
England,Premier League,2023-05-06,Bournemouth,1,3,Chelsea
England,Premier League,2023-05-13,Chelsea,2,2,Nott'm Forest
England,Premier League,2023-05-21,Man City,1,0,Chelsea
England,Premier League,2023-04-01,Crystal Palace,2,1,Leicester
England,Premier League,2023-04-09,Leeds,1,5,Crystal Palace
England,Premier League,2023-04-15,Southampton,0,2,Crystal Palace
England,Premier League,2023-04-22,Crystal Palace,0,0,Everton
England,Premier League,2023-04-25,Wolves,2,0,Crystal Palace
England,Premier League,2023-04-29,Crystal Palace,4,3,West Ham
England,Premier League,2023-05-06,Tottenham,1,0,Crystal Palace
England,Premier League,2023-05-13,Crystal Palace,2,0,Bournemouth
England,Premier League,2023-05-20,Fulham,2,2,Crystal Palace
England,Premier League,2023-04-03,Everton,1,1,Tottenham
England,Premier League,2023-04-08,Man United,2,0,Everton
England,Premier League,2023-04-15,Everton,1,3,Fulham
England,Premier League,2023-04-22,Crystal Palace,0,0,Everton
England,Premier League,2023-04-27,Everton,1,4,Newcastle
England,Premier League,2023-05-01,Leicester,2,2,Everton
England,Premier League,2023-05-08,Brighton,1,5,Everton
England,Premier League,2023-05-14,Everton,0,3,Man City
England,Premier League,2023-05-20,Wolves,1,1,Everton
England,Premier League,2023-04-01,Bournemouth,2,1,Fulham
England,Premier League,2023-04-08,Fulham,0,1,West Ham
England,Premier League,2023-04-15,Everton,1,3,Fulham
England,Premier League,2023-04-22,Fulham,2,1,Leeds
England,Premier League,2023-04-25,Aston Villa,1,0,Fulham
England,Premier League,2023-04-30,Fulham,1,2,Man City
England,Premier League,2023-05-03,Liverpool,1,0,Fulham
England,Premier League,2023-05-08,Fulham,5,3,Leicester
England,Premier League,2023-05-13,Southampton,0,2,Fulham
England,Premier League,2023-05-20,Fulham,2,2,Crystal Palace
England,Premier League,2023-04-01,Arsenal,4,1,Leeds
England,Premier League,2023-04-04,Leeds,2,1,Nott'm Forest
England,Premier League,2023-04-09,Leeds,1,5,Crystal Palace
England,Premier League,2023-04-17,Leeds,1,6,Liverpool
England,Premier League,2023-04-22,Fulham,2,1,Leeds
England,Premier League,2023-04-25,Leeds,1,1,Leicester
England,Premier League,2023-04-30,Bournemouth,4,1,Leeds
England,Premier League,2023-05-06,Man City,2,1,Leeds
England,Premier League,2023-05-13,Leeds,2,2,Newcastle
England,Premier League,2023-05-21,West Ham,3,1,Leeds
England,Premier League,2023-04-01,Crystal Palace,2,1,Leicester
England,Premier League,2023-04-04,Leicester,1,2,Aston Villa
England,Premier League,2023-04-08,Leicester,0,1,Bournemouth
England,Premier League,2023-04-15,Man City,3,1,Leicester
England,Premier League,2023-04-22,Leicester,2,1,Wolves
England,Premier League,2023-04-25,Leeds,1,1,Leicester
England,Premier League,2023-05-01,Leicester,2,2,Everton
England,Premier League,2023-05-08,Fulham,5,3,Leicester
England,Premier League,2023-05-15,Leicester,0,3,Liverpool
England,Premier League,2023-05-22,Newcastle,0,0,Leicester
England,Premier League,2023-04-01,Man City,4,1,Liverpool
England,Premier League,2023-04-04,Chelsea,0,0,Liverpool
England,Premier League,2023-04-09,Liverpool,2,2,Arsenal
England,Premier League,2023-04-17,Leeds,1,6,Liverpool
England,Premier League,2023-04-22,Liverpool,3,2,Nott'm Forest
England,Premier League,2023-04-26,West Ham,1,2,Liverpool
England,Premier League,2023-04-30,Liverpool,4,3,Tottenham
England,Premier League,2023-05-03,Liverpool,1,0,Fulham
England,Premier League,2023-05-06,Liverpool,1,0,Brentford
England,Premier League,2023-05-15,Leicester,0,3,Liverpool
England,Premier League,2023-05-20,Liverpool,1,1,Aston Villa
England,Premier League,2023-04-01,Man City,4,1,Liverpool
England,Premier League,2023-04-08,Southampton,1,4,Man City
England,Premier League,2023-04-15,Man City,3,1,Leicester
England,Premier League,2023-04-26,Man City,4,1,Arsenal
England,Premier League,2023-04-30,Fulham,1,2,Man City
England,Premier League,2023-05-03,Man City,3,0,West Ham
England,Premier League,2023-05-06,Man City,2,1,Leeds
England,Premier League,2023-05-14,Everton,0,3,Man City
England,Premier League,2023-05-21,Man City,1,0,Chelsea
England,Premier League,2023-04-02,Newcastle,2,0,Man United
England,Premier League,2023-04-05,Man United,1,0,Brentford
England,Premier League,2023-04-08,Man United,2,0,Everton
England,Premier League,2023-04-16,Nott'm Forest,0,2,Man United
England,Premier League,2023-04-27,Tottenham,2,2,Man United
England,Premier League,2023-04-30,Man United,1,0,Aston Villa
England,Premier League,2023-05-04,Brighton,1,0,Man United
England,Premier League,2023-05-07,West Ham,1,0,Man United
England,Premier League,2023-05-13,Man United,2,0,Wolves
England,Premier League,2023-05-20,Bournemouth,0,1,Man United
England,Premier League,2023-04-02,Newcastle,2,0,Man United
England,Premier League,2023-04-05,West Ham,1,5,Newcastle
England,Premier League,2023-04-08,Brentford,1,2,Newcastle
England,Premier League,2023-04-15,Aston Villa,3,0,Newcastle
England,Premier League,2023-04-23,Newcastle,6,1,Tottenham
England,Premier League,2023-04-27,Everton,1,4,Newcastle
England,Premier League,2023-04-30,Newcastle,3,1,Southampton
England,Premier League,2023-05-07,Newcastle,0,2,Arsenal
England,Premier League,2023-05-13,Leeds,2,2,Newcastle
England,Premier League,2023-05-18,Newcastle,4,1,Brighton
England,Premier League,2023-05-22,Newcastle,0,0,Leicester
England,Premier League,2023-04-01,Nott'm Forest,1,1,Wolves
England,Premier League,2023-04-04,Leeds,2,1,Nott'm Forest
England,Premier League,2023-04-08,Aston Villa,2,0,Nott'm Forest
England,Premier League,2023-04-16,Nott'm Forest,0,2,Man United
England,Premier League,2023-04-22,Liverpool,3,2,Nott'm Forest
England,Premier League,2023-04-26,Nott'm Forest,3,1,Brighton
England,Premier League,2023-04-29,Brentford,2,1,Nott'm Forest
England,Premier League,2023-05-08,Nott'm Forest,4,3,Southampton
England,Premier League,2023-05-13,Chelsea,2,2,Nott'm Forest
England,Premier League,2023-05-20,Nott'm Forest,1,0,Arsenal
England,Premier League,2023-04-02,West Ham,1,0,Southampton
England,Premier League,2023-04-08,Southampton,1,4,Man City
England,Premier League,2023-04-15,Southampton,0,2,Crystal Palace
England,Premier League,2023-04-21,Arsenal,3,3,Southampton
England,Premier League,2023-04-27,Southampton,0,1,Bournemouth
England,Premier League,2023-04-30,Newcastle,3,1,Southampton
England,Premier League,2023-05-08,Nott'm Forest,4,3,Southampton
England,Premier League,2023-05-13,Southampton,0,2,Fulham
England,Premier League,2023-05-21,Brighton,3,1,Southampton
England,Premier League,2023-04-03,Everton,1,1,Tottenham
England,Premier League,2023-04-08,Tottenham,2,1,Brighton
England,Premier League,2023-04-15,Tottenham,2,3,Bournemouth
England,Premier League,2023-04-23,Newcastle,6,1,Tottenham
England,Premier League,2023-04-27,Tottenham,2,2,Man United
England,Premier League,2023-04-30,Liverpool,4,3,Tottenham
England,Premier League,2023-05-06,Tottenham,1,0,Crystal Palace
England,Premier League,2023-05-13,Aston Villa,2,1,Tottenham
England,Premier League,2023-05-20,Tottenham,1,3,Brentford
England,Premier League,2023-04-02,West Ham,1,0,Southampton
England,Premier League,2023-04-05,West Ham,1,5,Newcastle
England,Premier League,2023-04-08,Fulham,0,1,West Ham
England,Premier League,2023-04-16,West Ham,2,2,Arsenal
England,Premier League,2023-04-23,Bournemouth,0,4,West Ham
England,Premier League,2023-04-26,West Ham,1,2,Liverpool
England,Premier League,2023-04-29,Crystal Palace,4,3,West Ham
England,Premier League,2023-05-03,Man City,3,0,West Ham
England,Premier League,2023-05-07,West Ham,1,0,Man United
England,Premier League,2023-05-14,Brentford,2,0,West Ham
England,Premier League,2023-05-21,West Ham,3,1,Leeds
England,Premier League,2023-04-01,Nott'm Forest,1,1,Wolves
England,Premier League,2023-04-08,Wolves,1,0,Chelsea
England,Premier League,2023-04-15,Wolves,2,0,Brentford
England,Premier League,2023-04-22,Leicester,2,1,Wolves
England,Premier League,2023-04-25,Wolves,2,0,Crystal Palace
England,Premier League,2023-04-29,Brighton,6,0,Wolves
England,Premier League,2023-05-06,Wolves,1,0,Aston Villa
England,Premier League,2023-05-13,Man United,2,0,Wolves
England,Premier League,2023-05-20,Wolves,1,1,Everton
